batter,pitch_type,pitch_name,family,pitches,whiff,slg,xwoba
457705,FF,4-Seam FB,Fastball,144,0.2535211267605634,0.34210526315789475,0.24665473684210523
457705,SI,Sinker,Fastball,64,0.17857142857142858,0.42857142857142855,0.3648584615384615
457705,ST,Sweeper,Breaking,51,0.4,0.125,0.236125
457705,SL,Slider,Breaking,47,0.55,0.2857142857142857,0.2702
457705,CH,Changeup,Offspeed,35,0.35714285714285715,0.42857142857142855,0.11116666666666668
457705,FC,Cutter,Fastball,33,0.2727272727272727,0.0,0.37986
467793,FF,4-Seam FB,Fastball,69,0.1891891891891892,0.06666666666666667,0.1401111111111111
467793,CH,Changeup,Offspeed,37,0.2,0.5,0.37978666666666666
500743,FF,4-Seam FB,Fastball,250,0.09230769230769231,0.463768115942029,0.30644426666666663
500743,SI,Sinker,Fastball,182,0.07,0.36363636363636365,0.3344245192307692
500743,CH,Changeup,Offspeed,126,0.32142857142857145,0.22727272727272727,0.22136363636363637
500743,SL,Slider,Breaking,114,0.25,0.43333333333333335,0.37432625
500743,FC,Cutter,Fastball,82,0.1956521739130435,0.782608695652174,0.3528765217391305
500743,ST,Sweeper,Breaking,73,0.13333333333333333,0.21052631578947367,0.243486
500743,CU,Curveball,Breaking,53,0.3076923076923077,0.625,0.3591816666666667
502054,FF,4-Seam FB,Fastball,40,0.3684210526315789,0.1111111111111111,0.242672
502671,FF,4-Seam FB,Fastball,361,0.20634920634920634,0.6701030927835051,0.3508617142857143
502671,SI,Sinker,Fastball,279,0.22077922077922077,0.35714285714285715,0.305286884057971
502671,SL,Slider,Breaking,249,0.31092436974789917,0.3269230769230769,0.2787949107142857
502671,CH,Changeup,Offspeed,188,0.27848101265822783,0.3902439024390244,0.3323391304347826
502671,FC,Cutter,Fastball,142,0.4861111111111111,0.2727272727272727,0.26266171428571433
502671,ST,Sweeper,Breaking,128,0.21739130434782608,0.5625,0.2601092105263158
502671,CU,Curveball,Breaking,101,0.1891891891891892,0.4,0.3126966666666667
502671,FS,Splitter,Offspeed,31,0.2777777777777778,0.16666666666666666,0.2806666666666667
506702,FF,4-Seam FB,Fastball,72,0.3333333333333333,0.18181818181818182,0.0986
506702,SI,Sinker,Fastball,30,0.21428571428571427,0.14285714285714285,0.22442857142857142
514888,SI,Sinker,Fastball,455,0.14622641509433962,0.29245283018867924,0.2864566666666667
514888,FF,4-Seam FB,Fastball,431,0.21100917431192662,0.5036496350364964,0.2978704109589041
514888,SL,Slider,Breaking,317,0.25595238095238093,0.3888888888888889,0.24279460674157302
514888,ST,Sweeper,Breaking,250,0.33070866141732286,0.31343283582089554,0.19052249999999998
514888,CH,Changeup,Offspeed,182,0.21686746987951808,0.42105263157894735,0.23997900000000003
514888,FC,Cutter,Fastball,158,0.14666666666666667,0.475,0.3691367441860465
