batter,family,pitches,whiff,slg,xwoba
457705,Breaking,126,0.46551724137931033,0.13636363636363635,0.16675
457705,Fastball,241,0.23636363636363636,0.35185185185185186,0.28414269090909094
457705,Offspeed,43,0.3888888888888889,0.3333333333333333,0.08875000000000001
467793,Fastball,91,0.21739130434782608,0.05,0.16760553846153847
467793,Offspeed,48,0.25,0.4,0.3254102857142857
500743,Breaking,208,0.21428571428571427,0.3829787234042553,0.34273433333333336
500743,Fastball,436,0.10434782608695652,0.4672131147540984,0.33192321138211384
500743,Offspeed,106,0.3018867924528302,0.22727272727272727,0.2058181818181818
502671,Breaking,469,0.27040816326530615,0.40217391304347827,0.2880078979591837
502671,Fastball,711,0.2803234501347709,0.48314606741573035,0.3119732054054054
502671,Offspeed,192,0.27058823529411763,0.36363636363636365,0.31922587234042554
506702,Breaking,41,0.21428571428571427,0.0,0.08
506702,Fastball,128,0.3116883116883117,0.14705882352941177,0.1219032258064516
514888,Breaking,607,0.28859060402684567,0.375,0.22196680281690143
514888,Fastball,877,0.17142857142857143,0.42916666666666664,0.31235175572519086
514888,Offspeed,200,0.25287356321839083,0.23809523809523808,0.21785490909090913
516782,Breaking,176,0.32323232323232326,0.3018867924528302,0.23997560377358487
516782,Fastball,395,0.22,0.32051282051282054,0.31711422891566265
516782,Offspeed,123,0.38461538461538464,0.375,0.28543333333333337
518595,Breaking,65,0.42424242424242425,0.2857142857142857,0.2812110769230769
518595,Fastball,166,0.2857142857142857,0.20588235294117646,0.3210853513513514
518595,Offspeed,41,0.44,0.21428571428571427,0.10192857142857145
518692,Breaking,718,0.2902208201892745,0.37857142857142856,0.3548152302631579
518692,Fastball,1301,0.1902097902097902,0.5275862068965518,0.3888331651090343
518692,Offspeed,352,0.1761006289308176,0.36363636363636365,0.3269784210526316
519317,Breaking,130,0.5074626865671642,0.47368421052631576,0.3125585
519317,Fastball,242,0.30097087378640774,0.35714285714285715,0.30962165853658535
519317,Offspeed,79,0.3157894736842105,0.5,0.3719074782608695
521692,Breaking,761,0.32418952618453867,0.305,0.23522451923076926
521692,Fastball,963,0.2103386809269162,0.44549763033175355,0.38596332751091705
521692,Offspeed,224,0.23333333333333334,0.4583333333333333,0.2305186052631579
542303,Breaking,381,0.41916167664670656,0.2318840579710145,0.2142718823529412
542303,Fastball,739,0.19936708860759494,0.37209302325581395,0.34601409039548026
542303,Offspeed,188,0.4634146341463415,0.19230769230769232,0.260288275862069
543309,Breaking,315,0.38345864661654133,0.13432835820895522,0.2111054776119403
543309,Fastball,424,0.15544041450777202,0.5510204081632653,0.3454422815533981
543309,Offspeed,81,0.46153846153846156,0.5384615384615384,0.3232885
543510,Breaking,183,0.41509433962264153,0.42592592592592593,0.20885700000000004
543510,Fastball,269,0.15833333333333333,0.5166666666666667,0.39390813333333335
543510,Offspeed,84,0.3333333333333333,0.3684210526315789,0.1364630588235294
543760,Breaking,654,0.31962025316455694,0.15483870967741936,0.20732117610062892
543760,Fastball,890,0.17467248908296942,0.4977168949771689,0.36205688888888893
543760,Offspeed,182,0.2988505747126437,0.375,0.35989404444444445
543807,Breaking,535,0.2891566265060241,0.4296875,0.24703467164179105
543807,Fastball,1015,0.17008196721311475,0.4444444444444444,0.33712517446808504
543807,Offspeed,225,0.3394495412844037,0.3125,0.27144851923076924
543877,Breaking,294,0.3106060606060606,0.1875,0.16427725
543877,Fastball,623,0.15436241610738255,0.4144736842105263,0.2717639245283019
543877,Offspeed,68,0.17647058823529413,0.15384615384615385,0.1925531428571429
545121,Breaking,454,0.2081447963800905,0.3939393939393939,0.2675324105263158
545121,Fastball,795,0.10103626943005181,0.4520547945205479,0.3301985173913044
545121,Offspeed,284,0.1656441717791411,0.3132530120481928,0.28160409523809526
545341,Breaking,212,0.3711340206185567,0.5740740740740741,0.3303503965517241
545341,Fastball,480,0.15767634854771784,0.48214285714285715,0.32990324528301884
545341,Offspeed,136,0.3707865168539326,0.625,0.37400000000000005
545361,Breaking,573,0.35,0.3838383838383838,0.30132535779816516
545361,Fastball,1468,0.18612521150592218,0.46715328467153283,0.4215594384384385
545361,Offspeed,239,0.31666666666666665,0.39622641509433965,0.32495006896551726
547180,Breaking,849,0.38687782805429866,0.47953216374269003,0.3711022089552239
547180,Fastball,1075,0.22709163346613545,0.5906976744186047,0.43746977443609025
547180,Offspeed,360,0.2896174863387978,0.3516483516483517,0.3306998316831683
553869,Breaking,225,0.376,0.3870967741935484,0.2564444444444444
553869,Fastball,414,0.22685185185185186,0.3875,0.2846325287356322
553869,Offspeed,65,0.2727272727272727,0.3448275862068966,0.2666551724137931
553993,Breaking,545,0.5060240963855421,0.3305084745762712,0.2426001875
553993,Fastball,1006,0.25054945054945055,0.4722222222222222,0.3223843991596638
553993,Offspeed,181,0.43023255813953487,0.25,0.15928273684210528
571448,Breaking,712,0.31210191082802546,0.27044025157232704,0.23211028488372093
